model,color,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
llama3.1:8b,,0.5,0.5,0.0,1.0,0.5,1.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0
llava:7b,,0.0,0.5,0.0,1.0,0.5714285714285714,1.0,0.0,0.0,0.8571428571428571,0.9285714285714286,0.0,0.0,0.21428571428571427,0.7857142857142857
meta-llama/llama-4-maverick-17b-128e-instruct,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
mistral-saba-24b,,0.9473684210526315,0.2631578947368421,0.0,1.0,0.7894736842105263,1.0,0.6842105263157895,0.15789473684210525,1.0,1.0,0.0,0.7368421052631579,0.2631578947368421,1.0
qwen/qwen3-32b,,1.0,0.25,0.0,1.0,0.85,1.0,0.7,0.0,1.0,1.0,0.0,0.95,0.1,1.0
qwen2.5:1.5b,0.0,0.0,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.0,0.5714285714285714,0.2857142857142857,0.5,1.0,0.14285714285714285,0.0,1.0,0.5714285714285714,0.7857142857142857
qwen2.5:7b,,0.7857142857142857,0.9285714285714286,0.0,1.0,0.9285714285714286,1.0,0.14285714285714285,0.8571428571428571,1.0,1.0,0.0,0.42857142857142855,0.0,0.8571428571428571
