model,Disposition,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,0.25,1.0,0.85,0.5,1.0,1.0,0.4,0.55,0.8,1.0,1.0,0.8,1.0,0.85,0.35
llama3.1:8b,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.5
llava:7b,,0.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,0.0
meta-llama/llama-4-maverick-17b-128e-instruct,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.95,1.0,1.0,1.0
mistral-saba-24b,,0.9,0.55,0.05,0.9,1.0,0.2,0.5,0.4,0.95,1.0,0.3,0.85,0.1,0.25
qwen/qwen3-32b,,1.0,0.45,0.4,1.0,1.0,0.95,0.85,0.05,1.0,1.0,0.3,1.0,0.1,0.6
qwen2.5:1.5b,,0.38461538461538464,0.7692307692307693,0.23076923076923078,0.7692307692307693,0.8461538461538461,0.7692307692307693,0.23076923076923078,0.46153846153846156,0.46153846153846156,0.3076923076923077,0.46153846153846156,0.15384615384615385,0.3076923076923077,0.23076923076923078
qwen2.5:7b,,0.2,0.95,0.0,1.0,0.9,0.0,0.05,1.0,0.4,0.65,0.2,0.15,0.0,0.0
