model,color,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,,1.0,0.85,0.2,1.0,0.9,1.0,0.3,0.65,1.0,1.0,0.3,0.9,0.9,1.0
llama3.1:8b,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
meta-llama/llama-4-maverick-17b-128e-instruct,,1.0,1.0,0.0,1.0,1.0,1.0,0.3,0.0,1.0,1.0,0.0,0.35,1.0,1.0
mistral-saba-24b,,0.85,0.65,0.0,1.0,0.9,0.9,0.0,0.3,0.6,1.0,0.0,0.05,0.5,1.0
qwen/qwen3-32b,,1.0,0.05,0.0,1.0,0.95,1.0,0.1,0.0,1.0,1.0,0.15,0.6,0.45,1.0
qwen2.5:1.5b,0.5,0.0,1.0,0.0,1.0,0.5555555555555556,0.6666666666666666,0.0,0.4444444444444444,0.8888888888888888,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.4444444444444444
qwen2.5:7b,,1.0,0.6842105263157895,0.05263157894736842,1.0,1.0,1.0,0.0,0.5263157894736842,1.0,1.0,0.0,0.0,0.8421052631578947,1.0
