model,Disposition,color,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,0.0,,1.0,0.95,0.10526315789473684,1.0,0.9,1.0,0.55,0.95,1.0,1.0,0.0,0.75,1.0,1.0
llava:7b,,,0.0,0.375,0.0,1.0,0.625,1.0,0.0,0.0,0.875,0.875,0.0,0.0,0.0,0.75
meta-llama/llama-4-maverick-17b-128e-instruct,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
mistral-saba-24b,,,1.0,0.47368421052631576,0.0,1.0,0.9473684210526315,1.0,0.3157894736842105,0.0,0.8947368421052632,1.0,0.0,0.21052631578947367,0.3684210526315789,1.0
qwen/qwen3-32b,,,1.0,0.2,0.1,1.0,1.0,1.0,0.0,0.1,0.85,1.0,0.0,0.0,0.2,1.0
qwen2.5:1.5b,,0.0,0.0,0.5,0.5,0.7857142857142857,0.35714285714285715,0.7857142857142857,0.42857142857142855,0.21428571428571427,1.0,0.2857142857142857,0.07142857142857142,0.35714285714285715,0.5714285714285714,0.7142857142857143
qwen2.5:7b,,,1.0,0.9333333333333333,0.0,1.0,1.0,1.0,0.0,0.9333333333333333,1.0,1.0,0.0,0.0,0.0,0.4666666666666667
