model,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,1.0,0.8333333333333334,0.2222222222222222,1.0,0.8333333333333334,1.0,0.8888888888888888,0.8333333333333334,1.0,1.0,0.9444444444444444,1.0,0.8333333333333334,1.0
llava:7b,0.2857142857142857,0.5714285714285714,0.0,1.0,1.0,0.8571428571428571,0.0,0.14285714285714285,0.7142857142857143,1.0,0.14285714285714285,0.0,0.0,0.0
meta-llama/llama-4-maverick-17b-128e-instruct,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
mistral-saba-24b,1.0,0.5789473684210527,0.0,1.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.05263157894736842,0.9473684210526315,1.0,0.5263157894736842,0.9473684210526315,0.10526315789473684,0.8947368421052632
qwen/qwen3-32b,1.0,0.4,0.15,1.0,0.95,1.0,0.85,0.2,1.0,1.0,0.1,0.8,0.1,0.8
qwen2.5:1.5b,0.0,0.7,0.3,0.8,0.2,0.7,0.3,0.4,1.0,0.5,0.3,0.7,0.3,0.5
qwen2.5:7b,1.0,0.75,0.0,1.0,1.0,1.0,0.1,0.15,1.0,1.0,0.05,0.0,0.05,0.0
