model,Disposition,color,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,1.0,,0.95,0.55,0.5263157894736842,0.55,1.0,0.0,0.2,0.3,1.0,1.0,0.0,1.0,0.35,1.0
llama3.1:8b,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
llava:7b,,,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.8888888888888888,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.5555555555555556,0.7777777777777778,0.2222222222222222,0.4444444444444444,0.0,0.1111111111111111
meta-llama/llama-4-maverick-17b-128e-instruct,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
mistral-saba-24b,,,1.0,0.4,0.8,0.4,1.0,0.0,0.6,0.25,0.95,1.0,0.0,0.95,0.0,1.0
qwen/qwen3-32b,,,1.0,0.15789473684210525,0.7368421052631579,0.21052631578947367,0.9473684210526315,0.05263157894736842,0.10526315789473684,0.0,0.9473684210526315,1.0,0.0,1.0,0.0,1.0
qwen2.5:1.5b,,0.0,0.16666666666666666,0.5714285714285714,0.35714285714285715,0.5,0.5,0.35714285714285715,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.7857142857142857,0.21428571428571427,0.6428571428571429,0.7142857142857143,0.6428571428571429
qwen2.5:7b,,,0.9411764705882353,0.8235294117647058,0.7058823529411765,0.5294117647058824,1.0,0.058823529411764705,0.23529411764705882,0.7058823529411765,0.9411764705882353,1.0,0.0,0.5882352941176471,0.0,0.9411764705882353
