model,Disposition,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,0.0,0.7368421052631579,1.0,0.3333333333333333,1.0,1.0,1.0,0.3684210526315789,0.9473684210526315,1.0,1.0,0.0,0.8421052631578947,0.7894736842105263,0.9473684210526315
llama3.1:8b,,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.5,0.0,0.5,0.5,0.5
llava:7b,,0.0,0.8333333333333334,0.0,1.0,0.5,0.5,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0
meta-llama/llama-4-maverick-17b-128e-instruct,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
mistral-saba-24b,,0.95,0.45,0.0,1.0,0.9,0.95,0.2,0.35,0.95,0.95,0.0,0.2,0.25,0.8
qwen/qwen3-32b,,0.8333333333333334,0.3333333333333333,0.0,1.0,1.0,0.6111111111111112,0.05555555555555555,0.16666666666666666,0.9444444444444444,1.0,0.0,0.2222222222222222,0.0,0.9444444444444444
qwen2.5:1.5b,,0.0,0.75,0.375,0.875,0.75,1.0,0.25,0.25,0.875,0.5,0.0,0.125,0.75,0.25
qwen2.5:7b,,0.0,0.8888888888888888,0.0,1.0,0.9444444444444444,0.7777777777777778,0.1111111111111111,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.0,0.0,0.0,0.0
