model,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,1.0,0.8421052631578947,0.5789473684210527,0.8947368421052632,1.0,0.8421052631578947,0.5789473684210527,0.5789473684210527,1.0,1.0,0.7894736842105263,1.0,0.8947368421052632,0.8947368421052632
llava:7b,0.15384615384615385,0.38461538461538464,0.0,0.9230769230769231,0.23076923076923078,0.0,0.0,0.07692307692307693,0.9230769230769231,0.6153846153846154,0.0,0.6923076923076923,0.07692307692307693,0.15384615384615385
meta-llama/llama-4-maverick-17b-128e-instruct,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.05,1.0,1.0,1.0
mistral-saba-24b,1.0,0.15789473684210525,0.0,0.5263157894736842,0.9473684210526315,0.5789473684210527,0.05263157894736842,0.0,1.0,1.0,0.10526315789473684,1.0,0.05263157894736842,0.7894736842105263
qwen/qwen3-32b,1.0,0.2,0.1,0.6,1.0,0.0,0.1,0.05,1.0,1.0,0.0,1.0,0.1,0.55
qwen2.5:1.5b,0.23076923076923078,0.8461538461538461,0.15384615384615385,0.5384615384615384,0.5384615384615384,0.23076923076923078,0.15384615384615385,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.38461538461538464,0.6153846153846154,0.3076923076923077,0.3076923076923077
qwen2.5:7b,1.0,1.0,0.0,1.0,1.0,0.1,0.0,1.0,1.0,1.0,0.15,0.95,0.0,0.1
