model,Disposition,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,1.0,1.0,0.95,0.8947368421052632,1.0,1.0,0.2,0.95,0.6,1.0,1.0,0.1,0.75,1.0,1.0
llama3.1:8b,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
llava:7b,,0.4444444444444444,0.7777777777777778,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.0,0.0,0.1111111111111111,0.4444444444444444,0.7777777777777778,0.0,0.3333333333333333,0.2222222222222222,0.5555555555555556
meta-llama/llama-4-maverick-17b-128e-instruct,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0
mistral-saba-24b,,1.0,0.6666666666666666,1.0,1.0,1.0,0.1111111111111111,0.7777777777777778,0.4444444444444444,0.8888888888888888,1.0,0.0,1.0,0.2222222222222222,1.0
qwen/qwen3-32b,,1.0,0.42105263157894735,1.0,1.0,1.0,0.0,0.8947368421052632,0.0,0.5263157894736842,1.0,0.2631578947368421,0.05263157894736842,0.47368421052631576,1.0
qwen2.5:1.5b,,0.1111111111111111,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.3333333333333333
qwen2.5:7b,,1.0,1.0,0.3,0.85,1.0,0.0,0.05,1.0,0.95,1.0,0.0,0.05,0.0,0.35
