model,Disposition,color,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,0.0,,0.9,0.8,0.10526315789473684,1.0,0.75,0.95,0.5,0.65,0.95,1.0,0.0,0.8,0.9,1.0
llava:7b,,,0.0,0.6,0.0,1.0,0.7,0.3,0.0,0.2,0.2,0.8,0.0,0.0,0.2,0.3
meta-llama/llama-4-maverick-17b-128e-instruct,,,1.0,0.9,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
mistral-saba-24b,,,0.8947368421052632,0.5263157894736842,0.0,1.0,0.9473684210526315,0.8947368421052632,0.15789473684210525,0.3684210526315789,0.9473684210526315,1.0,0.0,0.05263157894736842,0.5789473684210527,1.0
qwen/qwen3-32b,,,1.0,0.35,0.05,1.0,1.0,1.0,0.0,0.1,1.0,1.0,0.0,0.2,0.3,1.0
qwen2.5:1.5b,,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.25,0.75,0.75,0.0,0.25,1.0,0.5
qwen2.5:7b,,,0.07692307692307693,0.8461538461538461,0.0,1.0,1.0,0.5384615384615384,0.15384615384615385,0.9230769230769231,0.46153846153846156,0.6923076923076923,0.0,0.0,0.07692307692307693,0.6153846153846154
