model,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,1.0,0.55,0.15,1.0,0.65,1.0,0.65,0.5,1.0,1.0,0.0,1.0,0.65,0.55
llama3.1:8b,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0
llava:7b,0.1111111111111111,0.4444444444444444,0.0,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.1111111111111111,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.1111111111111111,0.2222222222222222
meta-llama/llama-4-maverick-17b-128e-instruct,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
mistral-saba-24b,1.0,0.23076923076923078,0.0,1.0,0.7692307692307693,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.15384615384615385,0.8461538461538461
qwen/qwen3-32b,1.0,0.1,0.1,1.0,0.9,1.0,0.9,0.0,1.0,1.0,0.0,1.0,0.1,0.3
qwen2.5:1.5b,0.2,0.2,0.6,0.6,0.2,1.0,0.4,0.0,1.0,0.8,0.2,1.0,0.8,0.4
qwen2.5:7b,1.0,0.7333333333333333,0.13333333333333333,1.0,0.9333333333333333,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,0.13333333333333333
