model,color,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,,0.9473684210526315,0.6842105263157895,0.3157894736842105,0.5789473684210527,1.0,0.0,0.10526315789473684,0.21052631578947367,1.0,1.0,0.0,1.0,0.6842105263157895,1.0
llama3.1:8b,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
llava:7b,,0.0,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.7142857142857143,0.0,0.0,0.14285714285714285,0.8571428571428571,1.0,0.0,0.0,0.0,0.14285714285714285
meta-llama/llama-4-maverick-17b-128e-instruct,,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.15,1.0,1.0,1.0
mistral-saba-24b,,1.0,0.3333333333333333,0.2222222222222222,0.2777777777777778,1.0,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.9444444444444444,1.0,0.0,0.9444444444444444,0.0,1.0
qwen/qwen3-32b,,1.0,0.35,0.9,0.3,1.0,0.0,0.05,0.05,1.0,1.0,0.0,1.0,0.0,1.0
qwen2.5:1.5b,0.0,0.0,0.75,0.25,0.6666666666666666,0.3333333333333333,0.25,0.3333333333333333,0.5833333333333334,1.0,0.5833333333333334,0.3333333333333333,0.5833333333333334,0.5,0.25
qwen2.5:7b,,1.0,0.75,0.2,0.65,0.6,0.0,0.1,0.7,1.0,1.0,0.0,0.4,0.0,0.8
