model,color,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,,1.0,0.9473684210526315,0.3157894736842105,1.0,1.0,0.9473684210526315,0.7368421052631579,0.8421052631578947,1.0,1.0,0.0,0.0,0.42105263157894735,0.0
llama3.1:8b,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
llava:7b,,0.7142857142857143,0.7142857142857143,0.0,1.0,0.7142857142857143,0.2857142857142857,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0
meta-llama/llama-4-maverick-17b-128e-instruct,,1.0,1.0,0.0,1.0,1.0,1.0,0.95,0.75,1.0,1.0,0.0,0.0,0.0,0.0
mistral-saba-24b,,1.0,0.3,0.0,1.0,1.0,0.1,0.4,0.15,1.0,0.3,0.0,0.0,0.0,0.0
qwen/qwen3-32b,,1.0,0.45,0.0,1.0,1.0,0.15,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0
qwen2.5:1.5b,0.0,0.08333333333333333,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.9230769230769231,0.38461538461538464,0.07692307692307693,1.0,0.5384615384615384,0.0,0.15384615384615385,0.46153846153846156,0.0
qwen2.5:7b,,1.0,1.0,0.0,1.0,1.0,0.1,0.0,0.9,1.0,0.45,0.0,0.0,0.0,0.0
