model,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,1.0,1.0,0.2631578947368421,1.0,0.9473684210526315,1.0,1.0,0.9473684210526315,1.0,1.0,0.05263157894736842,1.0,0.7894736842105263,1.0
llama3.1:8b,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0
llava:7b,0.2857142857142857,0.35714285714285715,0.0,1.0,0.8571428571428571,1.0,0.14285714285714285,0.0,0.7857142857142857,1.0,0.0,0.07142857142857142,0.21428571428571427,1.0
meta-llama/llama-4-maverick-17b-128e-instruct,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
mistral-saba-24b,1.0,0.4375,0.0,1.0,0.875,1.0,1.0,0.1875,0.9375,1.0,0.0,1.0,0.375,1.0
qwen/qwen3-32b,1.0,0.4,0.0,1.0,0.8,1.0,1.0,0.35,1.0,1.0,0.0,0.95,0.35,1.0
qwen2.5:1.5b,0.0,0.5625,0.3125,0.75,0.375,0.75,0.4375,0.375,1.0,0.6875,0.1875,0.625,0.5625,0.5
qwen2.5:7b,1.0,0.7,0.0,1.0,1.0,1.0,0.3,0.6,1.0,1.0,0.0,0.1,0.0,0.15
