model,Disposition,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,0.0,1.0,0.8421052631578947,0.05555555555555555,1.0,0.8947368421052632,1.0,0.3684210526315789,0.8421052631578947,1.0,1.0,0.0,0.8947368421052632,0.2631578947368421,1.0
llama3.1:8b,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.5
llava:7b,,0.0,0.625,0.0,1.0,0.5,1.0,0.0,0.125,1.0,1.0,0.0,0.0,0.0,0.75
meta-llama/llama-4-maverick-17b-128e-instruct,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0
mistral-saba-24b,,0.7894736842105263,0.47368421052631576,0.0,1.0,0.7368421052631579,1.0,0.47368421052631576,0.3684210526315789,1.0,1.0,0.0,0.47368421052631576,0.0,0.631578947368421
qwen/qwen3-32b,,0.95,0.6,0.0,1.0,1.0,1.0,0.25,0.5,1.0,1.0,0.0,0.65,0.0,1.0
qwen2.5:7b,,0.55,1.0,0.0,1.0,0.6,1.0,0.0,0.9,1.0,1.0,0.0,0.2,0.0,0.45
