model,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,1.0,0.8421052631578947,0.47368421052631576,1.0,1.0,1.0,0.8947368421052632,0.8421052631578947,1.0,1.0,0.0,0.9473684210526315,0.7368421052631579,0.47368421052631576
llava:7b,0.0,0.5,0.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0
meta-llama/llama-4-maverick-17b-128e-instruct,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
mistral-saba-24b,1.0,0.5555555555555556,0.0,1.0,1.0,1.0,0.7777777777777778,0.2777777777777778,1.0,1.0,0.0,0.8333333333333334,0.2222222222222222,0.6111111111111112
qwen/qwen3-32b,1.0,0.05,0.0,1.0,1.0,1.0,0.55,0.05,1.0,1.0,0.0,0.65,0.1,0.3
qwen2.5:1.5b,0.13333333333333333,0.6,0.3333333333333333,0.8,0.6666666666666666,0.8,0.26666666666666666,0.2,0.9333333333333333,0.5333333333333333,0.2,0.3333333333333333,0.6666666666666666,0.4
qwen2.5:7b,1.0,0.9,0.05,1.0,1.0,1.0,0.2,0.65,1.0,1.0,0.0,0.2,0.0,0.0
