model,color,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,,1.0,0.5882352941176471,0.7058823529411765,0.5294117647058824,0.9411764705882353,0.0,1.0,0.0,0.8235294117647058,1.0,0.0,1.0,0.23529411764705882,1.0
llama3.1:8b,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
llava:7b,,0.3,0.3,0.5,0.1,0.4,0.0,0.8,0.1,0.9,0.9,0.0,0.7,0.0,0.0
meta-llama/llama-4-maverick-17b-128e-instruct,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.2,1.0,1.0,0.0,1.0,1.0,1.0
mistral-saba-24b,,1.0,0.5789473684210527,0.7368421052631579,0.10526315789473684,0.9473684210526315,0.0,1.0,0.10526315789473684,0.7894736842105263,0.9473684210526315,0.0,1.0,0.0,0.9473684210526315
qwen/qwen3-32b,,1.0,0.05,0.85,0.35,0.9,0.0,0.95,0.0,0.75,1.0,0.0,1.0,0.0,0.9
qwen2.5:1.5b,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
qwen2.5:7b,,1.0,0.7894736842105263,1.0,0.3157894736842105,1.0,0.05263157894736842,0.5789473684210527,0.8947368421052632,1.0,1.0,0.0,1.0,0.0,0.10526315789473684
