model,color,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,0.0,0.5789473684210527,0.95,0.15,1.0,1.0,1.0,0.15,0.85,1.0,1.0,0.0,0.9,0.65,1.0
llama3.1:8b,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
llava:7b,,0.14285714285714285,0.5714285714285714,0.0,1.0,0.5714285714285714,0.14285714285714285,0.0,0.0,0.7142857142857143,0.42857142857142855,0.0,0.2857142857142857,0.0,0.2857142857142857
meta-llama/llama-4-maverick-17b-128e-instruct,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
mistral-saba-24b,,0.9,0.5,0.0,1.0,1.0,1.0,0.45,0.1,1.0,1.0,0.0,0.75,0.1,0.95
qwen/qwen3-32b,,0.9,0.15,0.0,1.0,0.85,1.0,0.0,0.05,1.0,1.0,0.0,0.95,0.0,1.0
qwen2.5:1.5b,,0.0,0.9090909090909091,0.0,1.0,0.8181818181818182,0.8181818181818182,0.0,0.36363636363636365,1.0,0.0,0.09090909090909091,0.18181818181818182,0.5454545454545454,0.45454545454545453
qwen2.5:7b,,0.5,0.7,0.0,1.0,0.85,1.0,0.0,0.3,1.0,1.0,0.0,0.05,0.0,0.4
