model,color,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,,0.6,0.85,0.05,1.0,1.0,1.0,0.3,0.75,1.0,1.0,0.0,1.0,0.45,1.0
llama3.1:8b,,0.0,0.5,0.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.0,0.5,0.5,1.0
llava:7b,,0.0,0.6,0.0,1.0,0.4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4
meta-llama/llama-4-maverick-17b-128e-instruct,,0.5,1.0,0.1,1.0,1.0,1.0,0.45,0.4,1.0,1.0,0.0,1.0,0.8,1.0
mistral-saba-24b,,0.55,0.5,0.0,1.0,0.75,1.0,0.2,0.1,1.0,1.0,0.0,0.7,0.2,1.0
qwen/qwen3-32b,,0.45,0.3,0.0,1.0,1.0,1.0,0.25,0.1,1.0,1.0,0.0,0.55,0.05,0.95
qwen2.5:1.5b,0.0,0.0,0.6,0.2,1.0,0.2,1.0,0.2,0.0,1.0,0.2,0.2,0.4,0.2,0.6
qwen2.5:7b,,0.0,0.8571428571428571,0.0,1.0,0.7857142857142857,1.0,0.0,0.7142857142857143,1.0,1.0,0.0,0.21428571428571427,0.0,0.8571428571428571
