model,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,1.0,0.95,0.05,1.0,1.0,0.6,0.25,0.95,1.0,1.0,0.0,0.0,0.65,0.5
llama3.1:8b,0.0,1.0,0.0,1.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
llava:7b,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
meta-llama/llama-4-maverick-17b-128e-instruct,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
mistral-saba-24b,0.9,0.75,0.0,1.0,0.95,0.7,0.5,0.4,1.0,1.0,0.0,0.05,0.1,0.45
qwen/qwen3-32b,1.0,0.45,0.15,1.0,1.0,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4
qwen2.5:1.5b,0.0,0.6842105263157895,0.2631578947368421,0.8421052631578947,0.42105263157894735,0.7368421052631579,0.2631578947368421,0.3157894736842105,0.7894736842105263,0.2631578947368421,0.10526315789473684,0.2631578947368421,0.631578947368421,0.42105263157894735
qwen2.5:7b,0.47368421052631576,0.8947368421052632,0.05263157894736842,1.0,0.8947368421052632,0.7894736842105263,0.15789473684210525,0.631578947368421,0.9473684210526315,1.0,0.0,0.0,0.0,0.0
