model,Disposition,color,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,0.0,,1.0,0.6666666666666666,0.11764705882352941,0.7777777777777778,0.9444444444444444,0.7777777777777778,0.0,0.5,1.0,1.0,0.4444444444444444,1.0,0.7777777777777778,0.7777777777777778
llava:7b,,,1.0,0.8333333333333334,0.0,0.16666666666666666,1.0,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.5,0.16666666666666666,0.3333333333333333
meta-llama/llama-4-maverick-17b-128e-instruct,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
mistral-saba-24b,,,1.0,0.17647058823529413,0.4117647058823529,0.11764705882352941,0.9411764705882353,0.29411764705882354,0.11764705882352941,0.0,0.5294117647058824,0.5294117647058824,0.0,1.0,0.0,0.4117647058823529
qwen/qwen3-32b,,,1.0,0.05263157894736842,0.0,0.05263157894736842,0.9473684210526315,0.10526315789473684,0.10526315789473684,0.0,1.0,0.9473684210526315,0.0,1.0,0.0,0.5789473684210527
qwen2.5:1.5b,,1.0,1.0,0.5454545454545454,0.36363636363636365,0.45454545454545453,0.9090909090909091,0.8181818181818182,0.36363636363636365,0.18181818181818182,0.0,0.45454545454545453,0.5454545454545454,0.0,0.45454545454545453,0.2727272727272727
qwen2.5:7b,,,1.0,0.5,0.0,0.75,1.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.25
