model,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
llama3.1:8b,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llava:7b,0.0,0.8,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8
meta-llama/llama-4-maverick-17b-128e-instruct,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.7,1.0
mistral-saba-24b,0.7894736842105263,0.3684210526315789,0.0,1.0,0.6842105263157895,1.0,0.7368421052631579,0.21052631578947367,1.0,1.0,0.0,0.6842105263157895,0.0,1.0
qwen/qwen3-32b,1.0,0.4,0.0,1.0,0.9,1.0,0.75,0.1,1.0,1.0,0.0,1.0,0.0,1.0
qwen2.5:7b,0.0,0.7777777777777778,0.0,1.0,0.3333333333333333,1.0,0.0,0.5555555555555556,1.0,1.0,0.0,0.0,0.0,1.0
