model,color,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,,1.0,0.9444444444444444,0.6111111111111112,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,0.5,1.0,0.8333333333333334,0.9444444444444444
llava:7b,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0
meta-llama/llama-4-maverick-17b-128e-instruct,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
mistral-saba-24b,,0.7368421052631579,0.47368421052631576,0.0,1.0,0.8947368421052632,1.0,0.21052631578947367,0.10526315789473684,0.9473684210526315,1.0,0.0,0.631578947368421,0.05263157894736842,0.2631578947368421
qwen/qwen3-32b,,1.0,0.47368421052631576,0.0,1.0,1.0,1.0,0.21052631578947367,0.05263157894736842,1.0,1.0,0.0,0.9473684210526315,0.0,0.5789473684210527
qwen2.5:1.5b,0.5,0.0,0.625,0.5,0.75,0.875,0.75,0.5,0.375,1.0,0.625,0.375,0.375,0.5,0.375
qwen2.5:7b,,0.2,0.6,0.1,0.9,0.8,1.0,0.2,0.15,1.0,0.8,0.0,0.3,0.0,0.0
