model,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,1.0,0.7,0.3,1.0,0.85,1.0,1.0,0.8,1.0,1.0,0.0,1.0,1.0,1.0
llama3.1:8b,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
llava:7b,0.0,0.16666666666666666,0.0,1.0,0.5,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,1.0,0.0,0.16666666666666666,0.6666666666666666,0.3333333333333333
meta-llama/llama-4-maverick-17b-128e-instruct,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
mistral-saba-24b,1.0,0.5789473684210527,0.0,1.0,0.8947368421052632,1.0,1.0,0.15789473684210525,1.0,1.0,0.0,0.9473684210526315,0.8421052631578947,0.9473684210526315
qwen/qwen3-32b,1.0,0.1,0.0,1.0,0.65,1.0,1.0,0.1,1.0,1.0,0.0,1.0,0.75,0.95
qwen2.5:1.5b,0.07142857142857142,0.5714285714285714,0.42857142857142855,0.7857142857142857,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.2857142857142857,1.0,0.7857142857142857,0.2857142857142857,0.7142857142857143,0.6428571428571429,0.42857142857142855
qwen2.5:7b,1.0,0.9166666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8333333333333334,0.3333333333333333
