model,color,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,,1.0,0.9,0.15,1.0,1.0,1.0,0.3,0.75,1.0,1.0,0.0,0.4,0.85,0.25
llama3.1:8b,,0.0,0.6666666666666666,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,1.0,0.0
llava:7b,,0.0,1.0,0.0,1.0,0.8888888888888888,0.7777777777777778,0.0,0.2222222222222222,0.6666666666666666,0.7777777777777778,0.0,0.0,0.0,0.0
meta-llama/llama-4-maverick-17b-128e-instruct,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0
mistral-saba-24b,,1.0,0.55,0.0,1.0,0.95,1.0,0.8,0.1,1.0,1.0,0.0,0.2,0.5,0.3
qwen/qwen3-32b,,1.0,0.21052631578947367,0.0,1.0,1.0,1.0,0.42105263157894735,0.0,1.0,1.0,0.0,0.10526315789473684,0.21052631578947367,0.47368421052631576
qwen2.5:1.5b,0.0,0.06666666666666667,0.375,0.4375,0.6875,0.4375,0.9375,0.5625,0.0625,0.9375,0.625,0.125,0.1875,0.625,0.4375
qwen2.5:7b,,1.0,0.4117647058823529,0.0,1.0,1.0,1.0,0.47058823529411764,0.11764705882352941,1.0,1.0,0.0,0.0,0.0,0.058823529411764705
