model,color,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
deepseek-r1-distill-llama-70b,,1.0,0.8,0.1,1.0,1.0,1.0,0.2,0.75,1.0,1.0,0.1,0.1,0.85,1.0
llama3.1:8b,,0.0,1.0,0.0,1.0,0.4,0.6,0.0,0.4,1.0,0.6,0.2,0.2,0.4,0.4
llava:7b,,0.0,0.5714285714285714,0.0,1.0,0.5714285714285714,0.7142857142857143,0.0,0.0,0.8571428571428571,1.0,0.0,0.0,0.0,1.0
meta-llama/llama-4-maverick-17b-128e-instruct,,0.2,1.0,0.0,1.0,1.0,1.0,0.2,0.5,1.0,1.0,0.0,0.0,1.0,1.0
mistral-saba-24b,,0.85,0.35,0.0,1.0,0.9,0.95,0.1,0.05,1.0,1.0,0.0,0.0,0.1,1.0
qwen/qwen3-32b,,0.7368421052631579,0.2631578947368421,0.0,1.0,1.0,0.9473684210526315,0.0,0.15789473684210525,1.0,1.0,0.0,0.0,0.0,1.0
qwen2.5:1.5b,0.5,0.18181818181818182,0.6153846153846154,0.3076923076923077,0.9230769230769231,0.5384615384615384,1.0,0.38461538461538464,0.3076923076923077,1.0,0.38461538461538464,0.23076923076923078,0.3076923076923077,0.46153846153846156,0.46153846153846156
qwen2.5:7b,,0.0,1.0,0.05555555555555555,1.0,0.8888888888888888,0.9444444444444444,0.0,0.6111111111111112,1.0,1.0,0.0,0.0,0.0,0.2222222222222222
