model,color,colour,context,disposition,function,location,material,pattern,scenario,shape,size,temperature,texture,value,weight
llama3.1:8b,,0.0,0.6666666666666666,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
llava:7b,,0.0,0.6666666666666666,0.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.16666666666666666,1.0,1.0,0.16666666666666666,0.0,0.0,0.6666666666666666
meta-llama/llama-4-maverick-17b-128e-instruct,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,0.05,1.0,1.0,1.0
mistral-saba-24b,,0.7894736842105263,0.5789473684210527,0.0,1.0,0.7368421052631579,1.0,0.5263157894736842,0.7368421052631579,1.0,1.0,0.3157894736842105,0.8421052631578947,0.21052631578947367,1.0
qwen/qwen3-32b,,0.9,0.25,0.0,1.0,0.7,1.0,0.65,0.15,1.0,1.0,0.0,0.75,0.0,1.0
qwen2.5:1.5b,0.0,0.0,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.5,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.5,0.8333333333333334
qwen2.5:7b,,0.0,1.0,0.0,1.0,0.42857142857142855,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.42857142857142855
